species,fish_id,mass_g,po2_torr,mo2_ms_per_hr,expt_period
Blepsias_cirrhosus,top_tank7_closed-orange-floats,5,28.586,2.52,pcrit
Blepsias_cirrhosus,top_tank7_closed-orange-floats,5,26.0257,1.9440000000000002,pcrit
Blepsias_cirrhosus,top_tank7_closed-orange-floats,5,23.6659,2.3040000000000003,pcrit
Blepsias_cirrhosus,top_tank7_closed-orange-floats,5,21.3787,1.9440000000000002,pcrit
Blepsias_cirrhosus,top_tank7_closed-orange-floats,5,19.342,1.8,pcrit
Blepsias_cirrhosus,top_tank7_closed-orange-floats,5,17.4922,1.584,pcrit
Blepsias_cirrhosus,top_tank7_closed-orange-floats,5,15.8378,1.512,pcrit
Blepsias_cirrhosus,bottom_tank7_closed-orange-floats,11,147.5746,3.0763636363636366,pcrit
Blepsias_cirrhosus,bottom_tank7_closed-orange-floats,11,139.135,3.632727272727273,pcrit
Blepsias_cirrhosus,bottom_tank7_closed-orange-floats,11,129.1145,4.712727272727272,pcrit
Blepsias_cirrhosus,bottom_tank7_closed-orange-floats,11,115.9078,5.760000000000001,pcrit
Blepsias_cirrhosus,bottom_tank7_closed-orange-floats,11,100.5277,6.381818181818182,pcrit
Blepsias_cirrhosus,bottom_tank7_closed-orange-floats,11,86.1929,5.956363636363637,pcrit
Blepsias_cirrhosus,bottom_tank7_closed-orange-floats,11,72.269,5.432727272727273,pcrit
Blepsias_cirrhosus,bottom_tank7_closed-orange-floats,11,60.1479,4.843636363636364,pcrit
Blepsias_cirrhosus,bottom_tank7_closed-orange-floats,11,49.4228,3.9600000000000004,pcrit
Blepsias_cirrhosus,bottom_tank7_closed-orange-floats,11,40.1913,3.5345454545454547,pcrit
Blepsias_cirrhosus,bottom_tank7_closed-orange-floats,11,32.5433,2.5527272727272727,pcrit
Blepsias_cirrhosus,bottom_tank7_closed-orange-floats,11,26.756,1.8654545454545455,pcrit
Blepsias_cirrhosus,bottom_tank7_closed-orange-floats,11,22.0457,1.8327272727272728,pcrit
Blepsias_cirrhosus,bottom_tank7_closed-orange-floats,11,18.1985,1.4072727272727272,pcrit
Blepsias_cirrhosus,bottom_tank7_closed-orange-floats,11,15.3235,1.0472727272727274,pcrit
Blepsias_cirrhosus,middle_tank7_closed-orange-floats,6.4,143.9593,3.4875,pcrit
Blepsias_cirrhosus,middle_tank7_closed-orange-floats,6.4,139.0683,3.76875,pcrit
Blepsias_cirrhosus,middle_tank7_closed-orange-floats,6.4,134.1751,3.5437499999999997,pcrit
Blepsias_cirrhosus,middle_tank7_closed-orange-floats,6.4,128.9318,4.05,pcrit
Blepsias_cirrhosus,middle_tank7_closed-orange-floats,6.4,123.0404,4.5562499999999995,pcrit
Blepsias_cirrhosus,middle_tank7_closed-orange-floats,6.4,116.7577,4.1625,pcrit
Blepsias_cirrhosus,middle_tank7_closed-orange-floats,6.4,110.6664,4.8374999999999995,pcrit
Blepsias_cirrhosus,middle_tank7_closed-orange-floats,6.4,104.1613,4.2749999999999995,pcrit
Blepsias_cirrhosus,middle_tank7_closed-orange-floats,6.4,98.7941,3.7125,pcrit
Blepsias_cirrhosus,middle_tank7_closed-orange-floats,6.4,93.4409,4.05,pcrit
Blepsias_cirrhosus,middle_tank7_closed-orange-floats,6.4,87.4698,4.5562499999999995,pcrit
Blepsias_cirrhosus,middle_tank7_closed-orange-floats,6.4,81.4924,3.6,pcrit
Blepsias_cirrhosus,middle_tank7_closed-orange-floats,6.4,77.258,2.75625,pcrit
Blepsias_cirrhosus,middle_tank7_closed-orange-floats,6.4,73.2082,2.925,pcrit
Blepsias_cirrhosus,middle_tank7_closed-orange-floats,6.4,69.4608,2.475,pcrit
Blepsias_cirrhosus,middle_tank7_closed-orange-floats,6.4,66.0866,2.30625,pcrit
Blepsias_cirrhosus,middle_tank7_closed-orange-floats,6.4,62.8234,2.30625,pcrit
Blepsias_cirrhosus,middle_tank7_closed-orange-floats,6.4,59.5448,2.6437500000000003,pcrit
Blepsias_cirrhosus,middle_tank7_closed-orange-floats,6.4,55.5779,2.98125,pcrit
Blepsias_cirrhosus,middle_tank7_closed-orange-floats,6.4,51.3755,3.0375,pcrit
Blepsias_cirrhosus,middle_tank7_closed-orange-floats,6.4,46.7225,3.6,pcrit
Blepsias_cirrhosus,middle_tank7_closed-orange-floats,6.4,41.9383,3.15,pcrit
Blepsias_cirrhosus,middle_tank7_closed-orange-floats,6.4,37.496,3.20625,pcrit
Blepsias_cirrhosus,middle_tank7_closed-orange-floats,6.4,33.1895,2.8125,pcrit
Blepsias_cirrhosus,middle_tank7_closed-orange-floats,6.4,29.5836,2.4187499999999997,pcrit
Blepsias_cirrhosus,middle_tank7_closed-orange-floats,6.4,26.4619,2.08125,pcrit
Blepsias_cirrhosus,middle_tank7_closed-orange-floats,6.4,23.7191,1.85625,pcrit
Blepsias_cirrhosus,middle_tank7_closed-orange-floats,6.4,21.3159,1.74375,pcrit
Blepsias_cirrhosus,middle_tank7_closed-orange-floats,6.4,19.1561,1.4625,pcrit
Blepsias_cirrhosus,middle_tank7_closed-orange-floats,6.4,17.1883,1.3499999999999996,pcrit
Blepsias_cirrhosus,middle_tank7_closed-orange-floats,6.4,15.3917,1.2937499999999997,pcrit
Blepsias_cirrhosus,top-bottom_tank7_closed-orange-floats,4.7,153.1312,2.451063829787234,pcrit
Blepsias_cirrhosus,top-bottom_tank7_closed-orange-floats,4.7,150.4276,2.451063829787234,pcrit
Blepsias_cirrhosus,top-bottom_tank7_closed-orange-floats,4.7,147.7663,2.757446808510638,pcrit
Blepsias_cirrhosus,top-bottom_tank7_closed-orange-floats,4.7,145.1869,2.374468085106383,pcrit
Blepsias_cirrhosus,top-bottom_tank7_closed-orange-floats,4.7,142.8345,2.297872340425532,pcrit
Blepsias_cirrhosus,top-bottom_tank7_closed-orange-floats,4.7,139.8303,3.4468085106382977,pcrit
Blepsias_cirrhosus,top-bottom_tank7_closed-orange-floats,4.7,135.4233,5.285106382978723,pcrit
Blepsias_cirrhosus,top-bottom_tank7_closed-orange-floats,4.7,129.6327,5.897872340425532,pcrit
Blepsias_cirrhosus,top-bottom_tank7_closed-orange-floats,4.7,124.315,4.4425531914893615,pcrit
Blepsias_cirrhosus,top-bottom_tank7_closed-orange-floats,4.7,119.5612,4.059574468085106,pcrit
Blepsias_cirrhosus,top-bottom_tank7_closed-orange-floats,4.7,116.0134,3.293617021276596,pcrit
Blepsias_cirrhosus,top-bottom_tank7_closed-orange-floats,4.7,112.6667,2.527659574468085,pcrit
Blepsias_cirrhosus,top-bottom_tank7_closed-orange-floats,4.7,110.1338,2.297872340425532,pcrit
Blepsias_cirrhosus,top-bottom_tank7_closed-orange-floats,4.7,107.6546,2.604255319148936,pcrit
Blepsias_cirrhosus,top-bottom_tank7_closed-orange-floats,4.7,105.1075,2.451063829787234,pcrit
Blepsias_cirrhosus,top-bottom_tank7_closed-orange-floats,4.7,102.7173,2.068085106382979,pcrit
Blepsias_cirrhosus,top-bottom_tank7_closed-orange-floats,4.7,100.1057,2.757446808510638,pcrit
Blepsias_cirrhosus,top-bottom_tank7_closed-orange-floats,4.7,97.4218,2.374468085106383,pcrit
Blepsias_cirrhosus,top-bottom_tank7_closed-orange-floats,4.7,95.0397,2.680851063829787,pcrit
Blepsias_cirrhosus,top-bottom_tank7_closed-orange-floats,4.7,92.2732,2.8340425531914892,pcrit
Blepsias_cirrhosus,top-bottom_tank7_closed-orange-floats,4.7,89.7231,2.987234042553191,pcrit
Blepsias_cirrhosus,top-bottom_tank7_closed-orange-floats,4.7,86.3937,3.3702127659574472,pcrit
Blepsias_cirrhosus,top-bottom_tank7_closed-orange-floats,4.7,83.524,2.2212765957446807,pcrit
Blepsias_cirrhosus,top-bottom_tank7_closed-orange-floats,4.7,80.9184,2.527659574468085,pcrit
Blepsias_cirrhosus,top-bottom_tank7_closed-orange-floats,4.7,78.2691,2.8340425531914892,pcrit
Blepsias_cirrhosus,top-bottom_tank7_closed-orange-floats,4.7,75.7315,2.8340425531914892,pcrit
Blepsias_cirrhosus,top-bottom_tank7_closed-orange-floats,4.7,72.7918,3.6765957446808506,pcrit
Blepsias_cirrhosus,top-bottom_tank7_closed-orange-floats,4.7,69.824,2.1446808510638298,pcrit
Blepsias_cirrhosus,top-bottom_tank7_closed-orange-floats,4.7,67.5104,2.2212765957446807,pcrit
Blepsias_cirrhosus,top-bottom_tank7_closed-orange-floats,4.7,63.865,4.36595744680851,pcrit
Blepsias_cirrhosus,top-bottom_tank7_closed-orange-floats,4.7,60.5159,2.604255319148936,pcrit
Blepsias_cirrhosus,top-bottom_tank7_closed-orange-floats,4.7,57.2255,2.987234042553191,pcrit
Blepsias_cirrhosus,top-bottom_tank7_closed-orange-floats,4.7,53.9105,3.982978723404255,pcrit
Blepsias_cirrhosus,top-bottom_tank7_closed-orange-floats,4.7,49.6322,3.829787234042553,pcrit
Blepsias_cirrhosus,top-bottom_tank7_closed-orange-floats,4.7,46.4247,2.8340425531914892,pcrit
Blepsias_cirrhosus,top-bottom_tank7_closed-orange-floats,4.7,43.4251,2.8340425531914892,pcrit
Blepsias_cirrhosus,top-bottom_tank7_closed-orange-floats,4.7,40.6603,2.757446808510638,pcrit
Blepsias_cirrhosus,top-bottom_tank7_closed-orange-floats,4.7,37.7409,3.0638297872340425,pcrit
Blepsias_cirrhosus,top-bottom_tank7_closed-orange-floats,4.7,34.3402,3.293617021276596,pcrit
Blepsias_cirrhosus,top-bottom_tank7_closed-orange-floats,4.7,31.5485,2.374468085106383,pcrit
Blepsias_cirrhosus,top-bottom_tank7_closed-orange-floats,4.7,29.1458,2.068085106382979,pcrit
