DO,MO2
93.02291169,2.270383275
88.35513126,2.082229965
83.90787589,1.994425087
79.50167064,2.069686411
75.05966587,1.994425087
70.4372315,2.345644599
65.28019093,2.583972125
59.57995227,2.508710801
54.62625298,2.195121951
49.5875895,2.546341463
43.53556086,2.809756098
38.09880668,2.358188153
32.77040573,2.646689895
27.89307876,2.006968641
24.04916468,1.655749129
20.60381862,1.605574913
17.46539379,1.329616725
14.78854415,1.154006969
12.54749403,0.953310105
10.65250597,0.802787456
9.129832936,0.6271777
7.82052506,0.56445993
6.578520286,0.539372822
5.498329356,0.451567944
4.638186158,0.326132404
4.074940334,0.476655052
