experiment_period,time_min,o2_sat,o2_torr,umol_per_sec,sel_duration
pcrit,1045.3397,47.2285,75.3271,-0.0025,315
pcrit,1050.6103,42.996,68.5764,-0.0026,315
pcrit,1055.8897,38.5996,61.5644,-0.0025,315
pcrit,1061.1666,34.6931,55.3337,-0.0025,315
pcrit,1066.4413,30.5378,48.7063,-0.0024,315
pcrit,1071.7182,26.1167,41.6548,-0.0028,315
pcrit,1076.992,21.6167,34.4775,-0.0024,315
pcrit,1082.2707,17.9612,28.6473,-0.002,315
pcrit,1087.5445,14.6817,23.4165,-0.0018,315
pcrit,1092.8198,11.8431,18.8892,-0.0016,315
pcrit,1098.0944,9.3823,14.9644,-0.0013,315
pcrit,1103.3722,7.4621,11.9016,-0.0009,315
pcrit,1108.646,6.051,9.651,-0.0008,315
pcrit,1113.9222,4.931,7.8646,-0.0005,315
pcrit,1119.1968,4.0525,6.4636,-0.0004,315
pcrit,1124.4738,3.4819,5.5534,-0.0003,315
pcrit,1127.9881,3.1554,5.0328,0,105
