experiment_period,time_min,o2_sat,o2_torr,umol_per_sec,sel_duration
mmr_smr,1138.87,96.295,154.3423,-0.0028,300
mmr_smr,1151.0558,96.4526,154.5948,-0.0027,345
mmr_smr,1163.3587,96.3638,154.4526,-0.0026,345
mmr_smr,1175.6696,96.4318,154.5615,-0.0027,345
mmr_smr,1187.9775,96.2358,154.2474,-0.0027,345
mmr_smr,1200.1637,96.1854,154.1667,-0.0024,330
mmr_smr,1212.8493,96.0304,153.9182,-0.0026,345
mmr_smr,1225.1587,96.0764,153.9918,-0.0026,345
mmr_smr,1237.469,96.1879,154.1706,-0.0027,315
mmr_smr,1249.6515,96.1088,154.0439,-0.0025,330
mmr_smr,1262.0897,96.3848,154.4863,-0.0026,315
mmr_smr,1277.0333,92.3399,148.003,-0.0091,330
mmr_smr,1289.9746,95.4333,152.9611,-0.0033,345
mmr_smr,1302.7884,96.4617,154.6095,-0.003,345
mmr_smr,1315.7243,96.3267,154.3931,-0.0032,360
pcrit,1330.9221,96.3365,154.4087,-0.003,315
pcrit,1336.1952,91.2666,146.2827,-0.0031,315
pcrit,1341.473,86.1999,138.1618,-0.0029,315
pcrit,1346.7468,81.3598,130.404,-0.0029,315
pcrit,1352.0238,76.8278,123.1402,-0.0028,315
pcrit,1357.3024,72.229,115.7692,-0.0029,315
pcrit,1362.5771,67.4458,108.1025,-0.003,315
pcrit,1367.8508,62.8967,100.8112,-0.0026,315
pcrit,1373.1246,58.725,94.1248,-0.0026,315
pcrit,1378.4008,54.4717,87.3077,-0.0026,315
pcrit,1383.6745,50.0768,80.2635,-0.0027,315
pcrit,1388.95,45.439,72.83,-0.0028,315
pcrit,1394.2254,40.8365,65.453,-0.0027,315
pcrit,1399.5024,36.519,58.5329,-0.0025,315
pcrit,1404.777,32.3108,51.788,-0.0026,315
pcrit,1410.054,28.2107,45.2163,-0.0026,315
pcrit,1415.3263,23.8425,38.2149,-0.0031,315
pcrit,1420.6016,18.2319,29.2222,-0.0031,315
pcrit,1425.8754,13.9544,22.3662,-0.0023,315
pcrit,1431.15,10.5309,16.8789,-0.0018,315
pcrit,1436.4245,7.2093,11.5551,-0.0019,315
pcrit,1441.7023,4.6845,7.5083,-0.0011,315
pcrit,1446.977,3.0906,4.9537,-0.0007,315
pcrit,1451.3726,2.448,3.9236,-0.0005,210
