date,species,spps,finclip,mass_g,probe,resp,resp_vol_L,expt_period,time_min,corr % sat,po2 torr,umol_per_sec,sel_start,sel_end,sel_duration,no_data_points_reg,notes
8-Nov-18,Chitonotus_pugetensis,chpu,none,8.4,NFB0008,D,0.24145,rmr,926.4139,95.5878,154.5606,-0.0029,16:00.0,27:45.0,720,48,
8-Nov-18,Chitonotus_pugetensis,chpu,none,8.4,NFB0008,D,0.24145,pcrit,11.3135,93.6902,151.4922,-0.0025,08:45.0,13:45.0,315,0,
8-Nov-18,Chitonotus_pugetensis,chpu,none,8.4,NFB0008,D,0.24145,pcrit,16.5913,92.3722,149.3612,-0.0029,14:00.0,19:00.0,315,0,
8-Nov-18,Chitonotus_pugetensis,chpu,none,8.4,NFB0008,D,0.24145,pcrit,21.8667,91.001,147.144,-0.003,19:15.0,24:15.0,315,0,
8-Nov-18,Chitonotus_pugetensis,chpu,none,8.4,NFB0008,D,0.24145,pcrit,27.1421,89.45,144.6361,-0.0035,24:30.0,29:30.0,315,0,
8-Nov-18,Chitonotus_pugetensis,chpu,none,8.4,NFB0008,D,0.24145,pcrit,32.4198,86.3762,139.6659,-0.0088,29:45.0,34:45.0,315,0,
8-Nov-18,Chitonotus_pugetensis,chpu,none,8.4,NFB0008,D,0.24145,pcrit,37.6937,82.1068,132.7625,-0.0083,35:00.0,40:00.0,315,0,
8-Nov-18,Chitonotus_pugetensis,chpu,none,8.4,NFB0008,D,0.24145,pcrit,42.973,78.5647,127.0352,-0.0064,40:15.0,45:15.0,315,0,
8-Nov-18,Chitonotus_pugetensis,chpu,none,8.4,NFB0008,D,0.24145,pcrit,48.2484,76.0998,123.0495,-0.0035,45:30.0,50:30.0,315,0,
8-Nov-18,Chitonotus_pugetensis,chpu,none,8.4,NFB0008,D,0.24145,pcrit,53.5246,74.709,120.8006,-0.0025,50:45.0,55:45.0,315,0,
8-Nov-18,Chitonotus_pugetensis,chpu,none,8.4,NFB0008,D,0.24145,pcrit,58.7984,73.3797,118.6512,-0.0027,56:00.0,01:00.0,315,0,
8-Nov-18,Chitonotus_pugetensis,chpu,none,8.4,NFB0008,D,0.24145,pcrit,64.0738,72.0604,116.518,-0.0031,01:15.0,06:15.0,315,0,
8-Nov-18,Chitonotus_pugetensis,chpu,none,8.4,NFB0008,D,0.24145,pcrit,69.35,70.3134,113.6932,-0.0034,06:30.0,11:30.0,315,0,
8-Nov-18,Chitonotus_pugetensis,chpu,none,8.4,NFB0008,D,0.24145,pcrit,74.6262,68.7048,111.0921,-0.0037,11:45.0,16:45.0,315,0,
8-Nov-18,Chitonotus_pugetensis,chpu,none,8.4,NFB0008,D,0.24145,pcrit,79.904,66.9375,108.2345,-0.0033,17:00.0,22:00.0,315,0,
8-Nov-18,Chitonotus_pugetensis,chpu,none,8.4,NFB0008,D,0.24145,pcrit,85.177,65.4336,105.8028,-0.0029,22:15.0,27:15.0,315,0,
8-Nov-18,Chitonotus_pugetensis,chpu,none,8.4,NFB0008,D,0.24145,pcrit,90.4532,64.0196,103.5164,-0.003,27:30.0,32:30.0,315,0,
8-Nov-18,Chitonotus_pugetensis,chpu,none,8.4,NFB0008,D,0.24145,pcrit,95.7254,62.1592,100.5083,-0.0035,32:45.0,37:45.0,315,0,
8-Nov-18,Chitonotus_pugetensis,chpu,none,8.4,NFB0008,D,0.24145,pcrit,101.0032,61.0102,98.6503,-0.0022,38:00.0,43:00.0,315,0,
8-Nov-18,Chitonotus_pugetensis,chpu,none,8.4,NFB0008,D,0.24145,pcrit,106.2786,59.7851,96.6694,-0.0026,43:15.0,48:15.0,315,0,
8-Nov-18,Chitonotus_pugetensis,chpu,none,8.4,NFB0008,D,0.24145,pcrit,111.5564,58.4478,94.5071,-0.0028,48:30.0,53:30.0,315,0,
8-Nov-18,Chitonotus_pugetensis,chpu,none,8.4,NFB0008,D,0.24145,pcrit,116.8318,56.8125,91.8629,-0.0043,53:45.0,58:45.0,315,0,
8-Nov-18,Chitonotus_pugetensis,chpu,none,8.4,NFB0008,D,0.24145,pcrit,122.1087,54.2396,87.7027,-0.0061,59:00.0,04:00.0,315,0,
8-Nov-18,Chitonotus_pugetensis,chpu,none,8.4,NFB0008,D,0.24145,pcrit,127.3873,51.3048,82.9572,-0.0059,04:15.0,09:15.0,315,0,
8-Nov-18,Chitonotus_pugetensis,chpu,none,8.4,NFB0008,D,0.24145,pcrit,132.6635,48.9627,79.1701,-0.0037,09:30.0,14:30.0,315,0,
8-Nov-18,Chitonotus_pugetensis,chpu,none,8.4,NFB0008,D,0.24145,pcrit,137.9405,47.2988,76.4797,-0.0029,14:45.0,19:45.0,315,0,
8-Nov-18,Chitonotus_pugetensis,chpu,none,8.4,NFB0008,D,0.24145,pcrit,143.2167,46.1306,74.5909,-0.0017,20:00.0,25:00.0,315,0,
8-Nov-18,Chitonotus_pugetensis,chpu,none,8.4,NFB0008,D,0.24145,pcrit,148.4929,44.6305,72.1652,-0.005,25:15.0,30:15.0,315,0,
8-Nov-18,Chitonotus_pugetensis,chpu,none,8.4,NFB0008,D,0.24145,pcrit,153.7698,42.0399,67.9763,-0.0054,30:30.0,35:30.0,315,0,
8-Nov-18,Chitonotus_pugetensis,chpu,none,8.4,NFB0008,D,0.24145,pcrit,159.0437,39.4381,63.7694,-0.0052,35:45.0,40:45.0,315,0,
