DO,MO2
92.9443,4.374367347
89.8591,2.243755102
88.0216,2.04244898
86.0772,2.449469388
83.1979,5.854040816
79.5703,2.450938776
77.2245,2.611102041
75.0041,2.433306122
72.0498,3.617632653
69.7074,2.475918367
67.5495,2.832979592
63.3881,4.073142857
60.6927,3.292897959
57.479,3.899755102
54.9024,2.587591837
52.6924,2.54644898
49.7052,4.587428571
45.941,3.689632653
42.7229,3.855673469
39.4681,3.610285714
36.5207,3.165061224
33.6822,3.129795918
31.2177,2.589061224
28.9916,2.276081633
26.7756,2.634612245
24.8657,2.365714286
22.7496,2.179102041
20.7232,2.636081633
18.7813,1.923428571
17.2073,1.733877551
15.8135,1.801469388
14.2058,1.785306122
12.9027,1.48555102
11.7219,1.348897959
10.6771,1.077061224
9.6762,1.315102041
8.7988,1.043265306
8.2389,1.591346939
