experiment_period,time_min,o2_sat,o2_torr,umol_per_sec,sel_duration,time_hrs,o2_kpa,mo2,mo2_ms
mmr_smr,3.7667,90.7104,144.6785,-0.0425,345,0.06277833333333334,1087.8082706766918,153,34.77272727272727
mmr_smr,16.9517,89.7221,143.1023,-0.0387,300,0.2825283333333333,1075.9571428571428,139.32,31.66363636363636
mmr_smr,29.3889,89.945,143.4578,-0.0328,315,0.489815,1078.6300751879699,118.08000000000001,26.836363636363636
mmr_smr,41.9476,90.0156,143.5703,-0.0308,315,0.6991266666666667,1079.475939849624,110.88000000000001,25.2
mmr_smr,54.1341,91.3779,145.7431,-0.0256,330,0.9022349999999999,1095.8127819548872,92.16000000000001,20.945454545454545
mmr_smr,66.4485,92.3174,147.2416,-0.0223,330,1.107475,1107.0796992481203,80.28,18.245454545454542
mmr_smr,78.7598,92.798,148.0082,-0.0209,330,1.3126633333333333,1112.8436090225562,75.24,17.099999999999998
mmr_smr,91.07,93.9579,149.8581,-0.0167,300,1.5178333333333331,1126.7526315789473,60.12,13.663636363636362
mmr_smr,103.3818,95.6851,152.6129,-0.0125,330,1.72303,1147.4654135338344,45,10.227272727272727
mmr_smr,115.9394,95.3114,152.017,-0.0146,330,1.9323233333333334,1142.984962406015,52.56,11.945454545454545
mmr_smr,128.1238,95.3693,152.1093,-0.0141,315,2.1353966666666664,1143.678947368421,50.76,11.536363636363635
mmr_smr,140.5592,94.6458,150.9553,-0.0164,300,2.3426533333333333,1135.0022556390977,59.040000000000006,13.418181818181818
mmr_smr,152.6174,92.7302,147.9,-0.0241,330,2.5436233333333336,1112.03007518797,86.76,19.71818181818182
mmr_smr,165.054,93.9627,149.8658,-0.0177,315,2.7509,1126.8105263157895,63.72,14.48181818181818
mmr_smr,177.3603,95.1158,151.7049,-0.014,315,2.9560049999999998,1140.6383458646617,50.4,11.454545454545453
mmr_smr,189.8,94.3571,150.4948,-0.0159,330,3.1633333333333336,1131.53984962406,57.24,13.009090909090908
mmr_smr,202.2357,93.8276,149.6504,-0.0172,315,3.3705950000000002,1125.190977443609,61.92,14.072727272727272
mmr_smr,214.292,95.0198,151.5518,-0.0146,345,3.5715333333333334,1139.4872180451125,52.56,11.945454545454545
mmr_smr,226.4771,95.5684,152.4268,-0.0127,360,3.7746183333333336,1146.0661654135336,45.72,10.39090909090909
mmr_smr,238.9131,95.1518,151.7624,-0.0136,345,3.9818849999999997,1141.0706766917294,48.959999999999994,11.127272727272725
mmr_smr,251.1,95.8033,152.8014,-0.0119,360,4.185,1148.8827067669172,42.84,9.736363636363636
mmr_smr,263.532,94.975,151.4804,-0.0121,375,4.3922,1138.9503759398497,43.56,9.9
mmr_smr,275.8399,95.6463,152.551,-0.0116,345,4.597331666666666,1146.9999999999998,41.76,9.49090909090909
mmr_smr,288.528,95.4828,152.2903,-0.0122,330,4.808800000000001,1145.03984962406,43.92,9.98181818181818
mmr_smr,300.8341,94.3623,150.5031,-0.0152,330,5.0139016666666665,1131.6022556390976,54.72,12.436363636363636
mmr_smr,313.0188,94.583,150.8551,-0.0125,345,5.21698,1134.248872180451,45,10.227272727272727
mmr_smr,325.5786,94.077,150.0481,-0.0157,315,5.42631,1128.181203007519,56.519999999999996,12.845454545454544
mmr_smr,337.642,95.2003,151.8398,-0.0111,345,5.627366666666666,1141.6526315789472,39.96,9.081818181818182
mmr_smr,349.9507,94.7483,151.1188,-0.0115,345,5.832511666666666,1136.2315789473682,41.4,9.409090909090908
mmr_smr,362.0087,95.43,152.206,-0.0106,345,6.033478333333333,1144.4060150375938,38.160000000000004,8.672727272727274
mmr_smr,374.8191,94.8485,151.2787,-0.0132,315,6.246985,1137.433834586466,47.52,10.8
mmr_smr,387.2538,95.34,152.0625,-0.011,330,6.45423,1143.327067669173,39.599999999999994,8.999999999999998
mmr_smr,399.4384,95.0944,151.6707,-0.0119,345,6.657306666666667,1140.3812030075187,42.84,9.736363636363636
mmr_smr,411.8727,95.1446,151.7509,-0.011,330,6.864545000000001,1140.9842105263158,39.599999999999994,8.999999999999998
mmr_smr,423.9311,95.4551,152.2461,-0.0104,330,7.065518333333333,1144.7075187969924,37.44,8.509090909090908
mmr_smr,436.3681,95.0647,151.6235,-0.0118,345,7.272801666666667,1140.0263157894738,42.48,9.654545454545453
mmr_smr,448.6775,95.6578,152.5694,-0.0096,345,7.4779583333333335,1147.1383458646617,34.559999999999995,7.854545454545453
mmr_smr,461.2405,95.4832,152.2909,-0.0109,315,7.687341666666667,1145.0443609022554,39.24,8.918181818181818
mmr_smr,473.4235,95.7058,152.6459,-0.009,330,7.890391666666667,1147.7135338345865,32.4,7.363636363636362
mmr_smr,485.8587,95.0261,151.5618,-0.0129,315,8.097645,1139.5624060150376,46.44,10.554545454545453
mmr_smr,498.1703,95.3106,152.0156,-0.0103,345,8.302838333333334,1142.9744360902255,37.08,8.427272727272726
mmr_smr,510.4804,95.1681,151.7884,-0.0105,345,8.508006666666667,1141.2661654135338,37.800000000000004,8.590909090909092
mmr_smr,522.6651,94.9963,151.5144,-0.0125,330,8.711085,1139.206015037594,45,10.227272727272727
mmr_smr,535.3508,94.8961,151.3546,-0.0119,315,8.922513333333335,1138.0045112781954,42.84,9.736363636363636
