date,spps,common_name,salinity_ppt,temperature_C,do_percent_sat,alpha_Boutilier,probe_kit,respirometer,respirometer_vol_mL,finclip_tank_id,mass_g,baro_pressure_kPa,measurement_period,timepoint_measurement_minutes,corr_percent_sat_DO,po2_torr,umol_O2_per_sec,selection_time_start,selection_time_end,selection_duration_seconds,comments
2-Mar-18,Oligocottus maculosus,tidepool sculpin,35,12,100,1.7206,NFB0010,1s,72.54,olma-I-new-middle-b1new-wt,4.7,101.2,mo2_routine,114.4306,88.8285,141.2583,-0.0091,51:45.0,56:00.0,270,
2-Mar-18,Oligocottus maculosus,tidepool sculpin,35,12,100,1.7206,NFB0010,1s,72.54,olma-I-new-middle-b1new-wt,4.7,101.2,mo2_routine,125.3561,91.175,144.9897,-0.0067,02:30.0,07:00.0,285,
2-Mar-18,Oligocottus maculosus,tidepool sculpin,35,12,100,1.7206,NFB0010,1s,72.54,olma-I-new-middle-b1new-wt,4.7,101.2,mo2_routine,135.7818,92.8844,147.7081,-0.0049,12:30.0,17:45.0,330,
2-Mar-18,Oligocottus maculosus,tidepool sculpin,35,12,100,1.7206,NFB0010,1s,72.54,olma-I-new-middle-b1new-wt,4.7,101.2,mo2_routine,147.0811,91.7608,145.9213,-0.0055,23:45.0,29:00.0,330,
2-Mar-18,Oligocottus maculosus,tidepool sculpin,35,12,100,1.7206,NFB0010,1s,72.54,olma-I-new-middle-b1new-wt,4.7,101.2,mo2_routine,158.1333,91.7042,145.8312,-0.0061,35:00.0,39:45.0,300,
2-Mar-18,Oligocottus maculosus,tidepool sculpin,35,12,100,1.7206,NFB0010,1s,72.54,olma-I-new-middle-b1new-wt,4.7,101.2,mo2_routine,169.3095,93.5568,148.7774,-0.0044,46:00.0,51:00.0,315,
2-Mar-18,Oligocottus maculosus,tidepool sculpin,35,12,100,1.7206,NFB0010,1s,72.54,olma-I-new-middle-b1new-wt,4.7,101.2,mo2_routine,179.9864,92.4364,146.9956,-0.005,56:30.0,01:45.0,330,
2-Mar-18,Oligocottus maculosus,tidepool sculpin,35,12,100,1.7206,NFB0010,1s,72.54,olma-I-new-middle-b1new-wt,4.7,101.2,mo2_routine,191.5435,93.7488,149.0826,-0.0039,08:30.0,12:45.0,270,
2-Mar-18,Oligocottus maculosus,tidepool sculpin,35,12,100,1.7206,NFB0010,1s,72.54,olma-I-new-middle-b1new-wt,4.7,101.2,mo2_routine,201.8401,93.6855,148.9821,-0.0039,18:15.0,23:30.0,330,
2-Mar-18,Oligocottus maculosus,tidepool sculpin,35,12,100,1.7206,NFB0010,1s,72.54,olma-I-new-middle-b1new-wt,4.7,101.2,mo2_routine,213.2706,94.4765,150.2399,-0.0034,29:45.0,34:45.0,315,
2-Mar-18,Oligocottus maculosus,tidepool sculpin,35,12,100,1.7206,NFB0010,1s,72.54,olma-I-new-middle-b1new-wt,4.7,101.2,mo2_routine,223.6979,93.8403,149.2283,-0.0039,39:45.0,45:30.0,360,
2-Mar-18,Oligocottus maculosus,tidepool sculpin,35,12,100,1.7206,NFB0010,1s,72.54,olma-I-new-middle-b1new-wt,4.7,101.2,mo2_routine,234.8732,95.3112,151.5673,-0.0028,51:00.0,56:30.0,345,
2-Mar-18,Oligocottus maculosus,tidepool sculpin,35,12,100,1.7206,NFB0010,1s,72.54,olma-I-new-middle-b1new-wt,4.7,101.2,mo2_routine,246.1738,95.2588,151.4839,-0.0028,02:30.0,07:30.0,315,
2-Mar-18,Oligocottus maculosus,tidepool sculpin,35,12,100,1.7206,NFB0010,1s,72.54,olma-I-new-middle-b1new-wt,4.7,101.2,mo2_routine,256.847,94.0108,149.4993,-0.0037,13:00.0,18:15.0,330,
2-Mar-18,Oligocottus maculosus,tidepool sculpin,35,12,100,1.7206,NFB0010,1s,72.54,olma-I-new-middle-b1new-wt,4.7,101.2,mo2_routine,267.7739,93.6736,148.9631,-0.0047,23:45.0,29:15.0,345,
2-Mar-18,Oligocottus maculosus,tidepool sculpin,35,12,100,1.7206,NFB0010,1s,72.54,olma-I-new-middle-b1new-wt,4.7,101.2,mo2_routine,278.9508,94.4703,150.2301,-0.0035,35:00.0,40:15.0,330,
2-Mar-18,Oligocottus maculosus,tidepool sculpin,35,12,100,1.7206,NFB0010,1s,72.54,olma-I-new-middle-b1new-wt,4.7,101.2,mo2_routine,290.0053,95.0614,151.17,-0.0028,46:00.0,51:15.0,330,
2-Mar-18,Oligocottus maculosus,tidepool sculpin,35,12,100,1.7206,NFB0010,1s,72.54,olma-I-new-middle-b1new-wt,4.7,101.2,mo2_routine,301.3108,95.4453,151.7805,-0.0032,57:30.0,02:15.0,300,
2-Mar-18,Oligocottus maculosus,tidepool sculpin,35,12,100,1.7206,NFB0010,1s,72.54,olma-I-new-middle-b1new-wt,4.7,101.2,mo2_routine,311.7362,95.4874,151.8475,-0.0028,07:30.0,13:00.0,345,
2-Mar-18,Oligocottus maculosus,tidepool sculpin,35,12,100,1.7206,NFB0010,1s,72.54,olma-I-new-middle-b1new-wt,4.7,101.2,mo2_routine,323.2913,95.755,152.273,-0.0026,19:15.0,24:15.0,315,
2-Mar-18,Oligocottus maculosus,tidepool sculpin,35,12,100,1.7206,NFB0010,1s,72.54,olma-I-new-middle-b1new-wt,4.7,101.2,mo2_routine,334.219,95.6726,152.142,-0.0025,30:00.0,35:15.0,330,
2-Mar-18,Oligocottus maculosus,tidepool sculpin,35,12,100,1.7206,NFB0010,1s,72.54,olma-I-new-middle-b1new-wt,4.7,101.2,mo2_routine,345.65,95.0723,151.1874,-0.0037,41:45.0,46:15.0,285,
2-Mar-18,Oligocottus maculosus,tidepool sculpin,35,12,100,1.7206,NFB0010,1s,72.54,olma-I-new-middle-b1new-wt,4.7,101.2,mo2_routine,355.696,96.1214,152.8557,-0.0024,51:00.0,57:00.0,375,
2-Mar-18,Oligocottus maculosus,tidepool sculpin,35,12,100,1.7206,NFB0010,1s,72.54,olma-I-new-middle-b1new-wt,4.7,101.2,mo2_routine,366.9968,95.2606,151.4869,-0.0036,02:45.0,07:45.0,315,
2-Mar-18,Oligocottus maculosus,tidepool sculpin,35,12,100,1.7206,NFB0010,1s,72.54,olma-I-new-middle-b1new-wt,4.7,101.2,mo2_routine,377.8036,95.6523,152.1097,-0.0029,13:15.0,18:45.0,345,
2-Mar-18,Oligocottus maculosus,tidepool sculpin,35,12,100,1.7206,NFB0010,1s,72.54,olma-I-new-middle-b1new-wt,4.7,101.2,mo2_routine,388.9765,96.1623,152.9208,-0.0028,24:30.0,29:45.0,330,
