mo2_ms,time.hrs
4.153381295,0.169721667
3.416115108,0.410455
3.633669065,0.682635
3.585323741,0.965285
3.434244604,1.243706667
3.202877698,1.530511667
2.955971223,1.808916667
2.78676259,2.097815
2.580431655,2.382536667
2.488920863,2.665026667
2.390503597,2.951845
2.401726619,3.230248333
2.387913669,3.514958333
2.388776978,3.803853333
2.345611511,4.08225
2.347338129,4.371198333
2.393093525,4.64329
2.449208633,4.934256667
2.388776978,5.210555
2.410359712,5.497236667
2.431942446,5.784035
2.499280576,6.066606667
2.422446043,6.353386667
2.417266187,6.629721667
2.4,6.918661667
2.437122302,7.197123333
2.425899281,7.479788333
2.341294964,7.76027
2.391366906,8.051213333
2.490647482,8.325485
2.432805755,8.610256667
2.366330935,8.899173333
2.38705036,9.175521667
2.467338129,9.46231
2.646043165,9.759586667
2.492374101,10.027545
2.363741007,10.312215
2.455251799,10.59698667
2.401726619,10.88384167
2.483741007,11.17063333
2.714244604,11.447
2.340431655,11.73381
2.408633094,12.01015333
2.591654676,12.29701167
2.449208633,12.57334833
2.42676259,12.864385
2.589064748,13.15541167
2.393956835,13.43385
2.583884892,13.71646333
2.537266187,13.99281833
2.535539568,14.27753
2.313669065,14.56640167
2.418992806,14.85526333
2.420719424,15.12950333
2.46647482,15.41210833
2.423309353,15.70313167
2.448345324,15.98573167
2.782446043,16.27251333
2.657266187,16.54884
2.862733813,16.84403833
2.697841727,17.11193667
