sel.dur
17.74999833
13.25
13.25
12
12.5
14.25
12.25
13.25
12.75
12.25
11.5
12.75
12
12.25
12.75
12
13.25
11.75
12.25
11.25
12.25
12.75
11.75
12.5
12.25
11.75
12.75
13
11.5
12.75
12
12
12.75
10.75
11.75
12
12
12.75
11.25
12.75
12.25
12
11.5
12.5
11.5
11.75
12.75
11
13
13.5
11.25
12.5
12.75
