DO,MO2
95.0778043,1.404878049
92.3522673,1.304529617
89.74797136,1.317073171
87.01957041,1.354703833
84.35704057,1.266898955
81.76229117,1.392334495
79.08878282,1.229268293
76.53460621,1.404878049
73.57661098,1.517770035
70.9274463,1.191637631
68.27016706,1.379790941
65.18997613,1.392334495
62.224821,1.643205575
58.8548926,1.404878049
55.68591885,1.530313589
52.12887828,2.019512195
48.37995227,1.781184669
44.92601432,1.705923345
40.89928401,2.295470383
36.79618138,1.806271777
33.649642,1.429965157
30.66205251,1.379790941
27.6902148,1.517770035
24.84009547,1.392334495
22.18186158,1.204181185
19.88066826,1.053658537
17.80620525,1.016027875
15.85393795,0.865505226
14.26396181,0.75261324
12.91551313,0.664808362
11.70787589,0.539372822
10.61431981,0.539372822
9.618615752,0.37630662
8.610023866,0.56445993
7.73699284,0.401393728
6.982338902,0.351219512
6.347016706,0.31358885
