time.min,mo2,time.bin,probe,spps,date.day,date.month,date.year
0.280468333,4.38,5,NFB0009,olma,18,april,2017
0.711623333,3.42,5,NFB0009,olma,18,april,2017
1.140676667,4.14,5,NFB0009,olma,18,april,2017
1.605311667,4.92,5,NFB0009,olma,18,april,2017
2.013458333,2.52,5,NFB0009,olma,18,april,2017
2.450873333,3.84,5,NFB0009,olma,18,april,2017
2.879981667,2.58,5,NFB0009,olma,18,april,2017
3.323696667,2.64,5,NFB0009,olma,18,april,2017
3.75488,3.18,5,NFB0009,olma,18,april,2017
4.192578333,2.82,5,NFB0009,olma,18,april,2017
4.627926667,3.78,5,NFB0009,olma,18,april,2017
5.052928333,2.22,10,NFB0009,olma,18,april,2017
5.48207,2.34,10,NFB0009,olma,18,april,2017
5.913463333,2.76,10,NFB0009,olma,18,april,2017
6.353025,2.46,10,NFB0009,olma,18,april,2017
6.792595,2.28,10,NFB0009,olma,18,april,2017
7.227953333,2.34,10,NFB0009,olma,18,april,2017
7.66146,2.1,10,NFB0009,olma,18,april,2017
8.080118333,2.28,10,NFB0009,olma,18,april,2017
8.519671667,2.04,10,NFB0009,olma,18,april,2017
8.95296,2.04,10,NFB0009,olma,18,april,2017
9.377911667,2.1,10,NFB0009,olma,18,april,2017
9.819615,2.16,10,NFB0009,olma,18,april,2017
10.24665,2.04,15,NFB0009,olma,18,april,2017
10.68196833,2.1,15,NFB0009,olma,18,april,2017
11.12994333,2.16,15,NFB0009,olma,18,april,2017
11.546465,2.34,15,NFB0009,olma,18,april,2017
11.97762,2.16,15,NFB0009,olma,18,april,2017
12.41936667,2.28,15,NFB0009,olma,18,april,2017
12.85265167,2.28,15,NFB0009,olma,18,april,2017
13.26711167,2.16,15,NFB0009,olma,18,april,2017
13.71502333,2.16,15,NFB0009,olma,18,april,2017
14.15040333,3.78,15,NFB0009,olma,18,april,2017
14.58993333,2.34,15,NFB0009,olma,18,april,2017
14.99388833,3.48,15,NFB0009,olma,18,april,2017
15.45850167,3.36,20,NFB0009,olma,18,april,2017
15.870815,3.3,20,NFB0009,olma,18,april,2017
16.74581,2.1,20,NFB0009,olma,18,april,2017
17.193805,1.98,20,NFB0009,olma,18,april,2017
17.6104,2.1,20,NFB0009,olma,18,april,2017
18.01855833,1.98,20,NFB0009,olma,18,april,2017
18.50005167,2.22,20,NFB0009,olma,18,april,2017
18.91441333,2.22,20,NFB0009,olma,18,april,2017
19.34983,2.28,20,NFB0009,olma,18,april,2017
19.76215,2.22,20,NFB0009,olma,18,april,2017
20.21223,2.4,25,NFB0009,olma,18,april,2017
20.637145,2.04,25,NFB0009,olma,18,april,2017
21.060095,1.98,25,NFB0009,olma,18,april,2017
21.50392,2.04,25,NFB0009,olma,18,april,2017
21.92879667,2.1,25,NFB0009,olma,18,april,2017
22.387205,2.22,25,NFB0009,olma,18,april,2017
22.80157167,2.04,25,NFB0009,olma,18,april,2017
23.2328,2.04,25,NFB0009,olma,18,april,2017
23.65567333,2.1,25,NFB0009,olma,18,april,2017
24.10143,2.04,25,NFB0009,olma,18,april,2017
24.54087,1.98,25,NFB0009,olma,18,april,2017
